index,reaction_semantic_similarity,reaction_psychological_depth_analysis_before_level,reaction_psychological_depth_analysis_after_level,reaction_psychological_depth_analysis_before_focus,reaction_psychological_depth_analysis_after_focus,reaction_psychological_depth_analysis_change_direction,reaction_reaction_types_analysis_before_types_emocjonalne,reaction_reaction_types_analysis_before_types_kognitywne,reaction_reaction_types_analysis_before_types_behawioralne_manifestacje,reaction_reaction_types_analysis_before_types_zewnętrzne_wyniki,reaction_reaction_types_analysis_after_types_emocjonalne,reaction_reaction_types_analysis_after_types_kognitywne,reaction_reaction_types_analysis_after_types_behawioralne_manifestacje,reaction_reaction_types_analysis_after_types_zewnętrzne_wyniki,reaction_reaction_types_analysis_emotional_granularity_change,reaction_conceptual_coverage_before_categories,reaction_conceptual_coverage_after_categories,reaction_conceptual_coverage_maintained_categories,reaction_conceptual_coverage_new_categories,reaction_conceptual_coverage_lost_categories,reaction_evolution_assessment_type,reaction_evolution_assessment_description,reaction_evolution_assessment_quality_change,reaction_key_insights,reaction_analysis_type
118,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakiejkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny.,0.0,"Brak danych do analizy, co uniemożliwia ocenę rozwoju rozumienia przez annotatora.",reaction
119,0.2,powierzchowny,średni,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,0,0,0,2,0,2,0,"Annotator przeszedł od braku identyfikacji reakcji emocjonalnych do rozpoznania współczucia jako kluczowej reakcji, co wskazuje na rozwój w rozumieniu emocji w kontekście wpływu społecznego.",[],"emocje (współczucie); wsparcie (komentarz, wsparcie finansowe)",[],"emocje (współczucie); wsparcie (komentarz, wsparcie finansowe)",[],pogłębienie psychologiczne,"Annotator zidentyfikował emocjonalne reakcje (współczucie) oraz zachowania wspierające (komentarze, wsparcie finansowe), co pokazuje rozwój w rozumieniu psychologicznych reakcji na wpływ społeczny.",0.7,"Rozwój w identyfikacji emocji i reakcji wspierających. Kluczowe zmiany: (1) Wprowadzenie emocji współczucia jako istotnej reakcji; (2) Rozpoznanie zachowań wspierających jako manifestacji reakcji emocjonalnych; (3) Zmiana z braku reakcji do zrozumienia, że wpływ społeczny może wywoływać emocjonalne i behawioralne odpowiedzi.",reaction
120,0.0,powierzchowny,głęboki,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,0,0,0,3,2,1,0,"Annotator przeszedł od braku jakiejkolwiek analizy emocjonalnej do złożonego opisu emocji, takich jak identyfikacja z uczuciem porównywania się oraz zaangażowanie emocjonalne, co pokazuje znaczny rozwój w rozumieniu reakcji psychologicznych.",[],emocje (zaangażowanie emocjonalne); procesy kognitywne (porównywanie się); manifestacje behawioralne (wysyłanie serduszka),[],emocje (zaangażowanie emocjonalne); procesy kognitywne (porównywanie się); manifestacje behawioralne (wysyłanie serduszka),[],pogłębienie psychologiczne,"Annotator znacząco rozwinął swoje rozumienie psychologicznych reakcji, przechodząc od braku analizy do złożonego opisu emocji i procesów kognitywnych związanych z wpływem społecznym.",1.0,"Rozwój kompetencji annotatora jest wyraźny. Kluczowe zmiany obejmują: (1) Wprowadzenie analizy emocjonalnej, co pokazuje zrozumienie wewnętrznych stanów psychicznych; (2) Identyfikacja procesów kognitywnych, takich jak porównywanie się, co wskazuje na głębsze zrozumienie wpływu społecznego; (3) Zauważenie behawioralnych manifestacji emocji, co pokazuje, że annotator dostrzega związki między emocjami a zachowaniami.",reaction
121,0.2,średni,powierzchowny,psychologiczny,behawioralny/zewnętrzny,bardziej behawioralny,2,0,0,0,0,0,1,1,"Annotator przeszedł od identyfikacji emocji związanych z dyskomfortem i poczuciem wspólnoty do opisu konkretnego działania (propozycja założenia zrzutki), co wskazuje na spłycenie analizy emocjonalnej.","emocje negatywne (dyskomfort); emocje pozytywne (wspólnota, troska)",konkretne zachowanie (propozycja zrzutki),[],konkretne zachowanie,emocje negatywne; emocje pozytywne,spłycenie (fokus na zachowania),"Annotator przeszedł od analizy emocjonalnej do opisu konkretnego działania, co wskazuje na spłycenie zrozumienia psychologicznych reakcji na wpływ społeczny.",-0.7,"Zauważalny spadek głębokości analizy. Kluczowe zmiany: (1) Utrata zrozumienia emocji związanych z dyskomfortem i wspólnotą; (2) Skupienie na zewnętrznych wynikach i zachowaniach, co wskazuje na spłycenie analizy psychologicznej.",reaction
122,0.2,powierzchowny,powierzchowny,mieszany,behawioralny/zewnętrzny,bardziej behawioralny,2,0,1,0,0,0,2,0,"Annotator przeszedł od identyfikacji emocji (poczucie się dziwnie, ulga) do opisu działań (szybka reakcja, wspólne działanie), co wskazuje na spłycenie analizy emocjonalnej.","emocje (dziwność, ulga); behawioralne manifestacje (wysłanie serduszka)","behawioralne manifestacje (szybka reakcja, wspólne działanie)",[],behawioralne manifestacje,emocje,spłycenie (fokus na zachowania),"Annotator skupił się bardziej na zewnętrznych działaniach niż na wewnętrznych stanach emocjonalnych, co prowadzi do uproszczenia analizy.",-0.5,"Zmiana w rozumieniu reakcji na wpływ społeczny wskazuje na spłycenie analizy emocjonalnej. Annotator przeszedł od identyfikacji emocji do opisu działań, co może sugerować brak zrozumienia złożoności wewnętrznych reakcji psychologicznych.",reaction
123,0.2,powierzchowny,powierzchowny,psychologiczny,behawioralny/zewnętrzny,bardziej behawioralny,1,0,0,1,1,0,1,2,"Annotator przeszedł od ogólnego 'wiary w ludzi' do bardziej konkretnych reakcji, ale nadal skupia się na zewnętrznych działaniach, co ogranicza głębię analizy emocjonalnej.",wiara w ludzi; poczucie dobra,"emocje (smutek); konkretne działania (wpłata pieniędzy, zarzucenie pomysłu)",emocje,konkretne działania,wiara w ludzi; poczucie dobra,spłycenie (fokus na zachowania),"Annotator przeszedł do bardziej behawioralnego opisu reakcji, koncentrując się na zewnętrznych działaniach zamiast na wewnętrznych stanach psychicznych.",-0.5,"Zmiana w rozumieniu reakcji na wpływ społeczny jest ograniczona. Zamiast pogłębiać analizę emocjonalną, annotator skupił się na zewnętrznych działaniach, co prowadzi do spłycenia analizy. Utracono złożoność wcześniejszych emocji na rzecz konkretnych działań.",reaction
124,0.2,powierzchowny,średni,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,0,2,0,1,1,1,0,"Annotator przeszedł od opisu jedynie zewnętrznych działań do uwzględnienia emocjonalnych i kognitywnych aspektów reakcji, co wskazuje na rozwój w rozumieniu psychologicznych reakcji na wpływ społeczny.","konkretne działania (założenie zbiórki, przekazanie środków)",emocje (przyjęcie komplementów); procesy kognitywne (obietnica dalszej gry); behawioralne manifestacje (reakcja na komplementy),[],emocje; procesy kognitywne; behawioralne manifestacje,konkretne działania,pogłębienie psychologiczne,"Annotator przeszedł od opisu jedynie zewnętrznych działań do uwzględnienia emocjonalnych i kognitywnych aspektów reakcji, co wskazuje na rozwój w rozumieniu psychologicznych reakcji na wpływ społeczny.",0.7,"Rozwój w zrozumieniu reakcji psychologicznych. Kluczowe zmiany: (1) Zmiana z opisu działań na uwzględnienie emocji i myśli; (2) Wprowadzenie nowych kategorii reakcji, co pokazuje większą złożoność w analizie wpływu społecznego.",reaction
125,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,3,1,"Brak zmiany w zrozumieniu emocjonalnym; odpowiedź po prostu opisuje zachowania i wyniki, nie identyfikuje wewnętrznych stanów psychologicznych.",[],"behawioralne manifestacje (spoko, grałem, polecam)",[],behawioralne manifestacje,[],brak znaczącej zmiany,"Odpowiedź po czasie nie wykazuje głębszego zrozumienia psychologicznych reakcji, koncentrując się jedynie na zewnętrznych zachowaniach.",0.0,"Annotator nie wykazał rozwoju w identyfikacji psychologicznych reakcji. Odpowiedź po czasie pozostaje na poziomie opisów zachowań, bez wnikania w wewnętrzne stany emocjonalne czy kognitywne.",reaction
126,0.2,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,0,0,0,0,1,1,1,1,"Annotator przeszedł od braku identyfikacji reakcji do rozpoznania emocjonalnych i kognitywnych aspektów reakcji, co wskazuje na rozwój w rozumieniu psychologicznych reakcji na wpływ społeczny.",[],emocje (umniejszanie roli); procesy kognitywne (odniesienie do wypowiedzi); behawioralne manifestacje (propozycja pomocy); zewnętrzne wyniki (deprecjonujące wypowiedzi),[],emocje; procesy kognitywne; behawioralne manifestacje; zewnętrzne wyniki,[],pogłębienie psychologiczne,"Annotator zyskał zdolność do identyfikacji emocji i kognicji w odpowiedzi na wpływ społeczny, co wcześniej nie miało miejsca. Rozwinął zrozumienie reakcji psychologicznych, dodając nowe kategorie.",0.7,"Rozwój w identyfikacji reakcji psychologicznych. Kluczowe zmiany: (1) Wprowadzenie emocji i kognicji do analizy reakcji, co wcześniej nie było obecne; (2) Rozpoznanie złożoności reakcji, w tym umniejszania roli i deprecjonujących wypowiedzi, co wskazuje na głębsze zrozumienie dynamiki wpływu społecznego.",reaction
127,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakichkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny.,0.0,"Brak danych do analizy, co uniemożliwia ocenę rozwoju rozumienia przez annotatora.",reaction
128,0.3,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,0,0,1,0,1,1,1,0,"Annotator przeszedł od opisu jedynie zachowania (chętnie pomogą) do bardziej złożonego zrozumienia, które uwzględnia emocjonalne i kognitywne aspekty reakcji na pomoc.",zachowanie (chęć pomocy),emocje (wdzięczność); procesy kognitywne (zaoferowanie pomocy),zachowanie (chęć pomocy),emocje (wdzięczność); procesy kognitywne (zaoferowanie pomocy),[],pogłębienie psychologiczne,"Annotator rozszerzył swoje zrozumienie reakcji na pomoc, dodając emocjonalne i kognitywne aspekty, co pokazuje większą głębię analizy.",0.7,"Rozwój w zrozumieniu reakcji na wpływ społeczny. Kluczowe zmiany: (1) Zmiana z opisu zachowań na uwzględnienie emocji i procesów kognitywnych; (2) Wprowadzenie emocji wdzięczności jako istotnego elementu reakcji; (3) Zrozumienie, że oferowanie pomocy wiąże się z wewnętrznymi procesami myślowymi.",reaction
129,0.1,średni,powierzchowny,mieszany,behawioralny/zewnętrzny,bardziej behawioralny,1,0,1,0,0,0,0,0,"Annotator przeszedł od identyfikacji emocji związanej z wdzięcznością do braku jakiejkolwiek reakcji, co wskazuje na spłycenie analizy emocjonalnej.",emocje pozytywne (wdzięczność); behawioralne manifestacje (chęć pomocy),[],[],[],emocje pozytywne; behawioralne manifestacje,spłycenie (fokus na zachowania),"Annotator zredukował swoje rozumienie reakcji na wpływ społeczny do braku wskazania jakiejkolwiek reakcji, co sugeruje spłycenie analizy.",-0.8,"Znaczące pogorszenie w rozumieniu reakcji na wpływ społeczny. Zamiast złożonej analizy emocjonalnej, annotator przeszedł do braku reakcji, co wskazuje na utratę zdolności do identyfikacji wewnętrznych stanów psychologicznych.",reaction
130,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak jakiejkolwiek zmiany, ponieważ nie ma żadnych reakcji zidentyfikowanych w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,"Nie ma żadnych reakcji ani kategorii zidentyfikowanych w odpowiedziach, co wskazuje na brak rozwoju w rozumieniu reakcji na wpływ społeczny.",0.0,"Brak jakichkolwiek reakcji lub kategorii w odpowiedziach sugeruje, że annotator nie dostarczył informacji na temat reakcji na wpływ społeczny, co może wskazywać na potrzebę dalszego szkolenia lub wsparcia w tej dziedzinie.",reaction
131,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ nie ma żadnych reakcji opisanych w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,"Nie ma żadnych reakcji ani opisów w obu odpowiedziach, co wskazuje na brak rozwoju w zrozumieniu reakcji na wpływ społeczny.",0.0,"Brak jakichkolwiek reakcji lub opisów w odpowiedziach sugeruje, że annotator nie dostarczył informacji na temat reakcji na wpływ społeczny, co uniemożliwia ocenę jego rozwoju w tej dziedzinie.",reaction
132,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakiejkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny.,0.0,"Brak jakichkolwiek reakcji w odpowiedziach sugeruje, że annotator nie dostarczył informacji na temat psychologicznych reakcji na wpływ społeczny, co może wskazywać na potrzebę dalszego rozwoju w tej dziedzinie.",reaction
133,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakichkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu wpływu społecznego.,0.0,"Brak danych do analizy, co uniemożliwia ocenę rozwoju rozumienia przez annotatora.",reaction
134,0.2,powierzchowny,średni,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,0,0,0,1,1,1,0,"Annotator przeszedł od braku identyfikacji reakcji do rozpoznania złożonych stanów psychologicznych, takich jak wątpliwości, zainteresowanie i zgoda, co pokazuje rozwój w rozumieniu reakcji na wpływ społeczny.",[],wątpliwości; zainteresowanie; zgoda,[],wątpliwości; zainteresowanie; zgoda,[],pogłębienie psychologiczne,"Annotator zyskał zdolność do identyfikacji wewnętrznych stanów psychologicznych związanych z wpływem społecznym, co wcześniej nie miało miejsca. Zmiana od braku reakcji do rozpoznania emocji i kognicji pokazuje rozwój w analizie.",0.75,"Rozwój w rozumieniu reakcji psychologicznych na wpływ społeczny. Kluczowe zmiany obejmują: (1) Identyfikacja wewnętrznych stanów psychologicznych, takich jak wątpliwości i zainteresowanie; (2) Zmiana z braku reakcji na rozpoznanie złożonych emocji i kognicji; (3) Wzrost zdolności do analizy wpływu społecznego na poziomie psychologicznym.",reaction
135,0.2,średni,powierzchowny,mieszany,behawioralny/zewnętrzny,bardziej behawioralny,1,1,1,0,0,0,1,1,"Annotator przeszedł od złożonej reakcji obronnej do prostego wyrażenia chęci, co wskazuje na spłycenie analizy emocjonalnej.",emocje obronne (umiarkowana próba obrony); procesy kognitywne (uleganie presji),konkretne zachowania (wyrażenie chęci),[],konkretne zachowania,emocje obronne; procesy kognitywne,spłycenie (fokus na zachowania),"Annotator przeszedł od analizy emocjonalnych i kognitywnych reakcji do prostego opisu zachowania, co wskazuje na spłycenie zrozumienia.",-0.6,"Rozwój rozumienia przez annotatora wykazuje spłycenie analizy reakcji psychologicznych. Zamiast złożonej reakcji obronnej, annotator skupił się na prostym zachowaniu, co może sugerować brak głębszej analizy emocjonalnej i kognitywnej.",reaction
136,0.3,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,0,0,1,0,0,3,2,0,"Annotator przeszedł od opisu jedynie zewnętrznego zachowania do bardziej złożonego opisu, który uwzględnia wątpliwości i preferencje, co wskazuje na rozwój w rozumieniu kognitywnych aspektów reakcji.",behawioralne manifestacje (słuchanie),"kognitywne (wątpliwości, preferencje); behawioralne manifestacje (wahanie, dopytywanie)",[],"kognitywne (wątpliwości, preferencje); behawioralne manifestacje (wahanie, dopytywanie)",behawioralne manifestacje (słuchanie),pogłębienie psychologiczne,"Annotator przeszedł od opisu jedynie zewnętrznego zachowania do bardziej złożonego opisu, który uwzględnia wątpliwości i preferencje, co wskazuje na rozwój w rozumieniu kognitywnych aspektów reakcji.",0.7,"Rozwój w zrozumieniu reakcji na wpływ społeczny. Kluczowe zmiany: (1) Zmiana z opisu jedynie zewnętrznego zachowania na uwzględnienie kognitywnych aspektów, takich jak wątpliwości i preferencje; (2) Wzrost złożoności analizy reakcji, co wskazuje na lepsze zrozumienie psychologicznych procesów.",reaction
137,0.3,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,0,1,1,0,0,1,1,1,"Annotator przeszedł od opisu nieśmiałej obrony zdania do bardziej aktywnego wyrażania opinii i zainteresowania, co wskazuje na rozwój w zakresie rozumienia reakcji na wpływ społeczny.",zachowanie obronne (nieśmiałość),wyrażanie opinii; zainteresowanie; zadawanie pytań,[],wyrażanie opinii; zainteresowanie; zadawanie pytań,zachowanie obronne,większa granulacja emocjonalna,"Annotator przeszedł od opisu nieśmiałej obrony do aktywnego wyrażania opinii i zainteresowania, co pokazuje rozwój w zakresie rozumienia reakcji na wpływ społeczny.",0.6,"Rozwój w zakresie rozumienia reakcji na wpływ społeczny. Kluczowe zmiany: (1) Zmiana z nieśmiałej obrony na aktywne wyrażanie opinii, co wskazuje na większą pewność siebie; (2) Wprowadzenie elementu zainteresowania i zadawania pytań, co sugeruje bardziej zaangażowane podejście do interakcji społecznych.",reaction
139,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,1,0,0,0,0,0,"Brak zmiany, ponieważ odpowiedź po jest pusta.",behawioralne manifestacje (uleganie manipulacji),[],[],[],behawioralne manifestacje,brak znaczącej zmiany,Brak odpowiedzi w sekcji 'After' uniemożliwia ocenę ewolucji rozumienia.,-1.0,"Brak odpowiedzi w sekcji 'After' wskazuje na brak rozwoju w rozumieniu reakcji na wpływ społeczny. Odpowiedź przed jest powierzchowna i skupia się na behawioralnym aspekcie, co nie zmienia się w odpowiedzi po.",reaction
138,0.6,średni,średni,psychologiczny,psychologiczny,bez zmian,1,0,0,0,1,1,0,0,"Annotator dodał nowy wymiar kognitywny do reakcji, wskazując na wątpliwości wobec krytyki, co sugeruje głębsze zrozumienie procesów myślowych związanych z uległością.",emocje negatywne (niepewność); uległość,emocje negatywne (wątpliwość); uległość,uległość,wątpliwość wobec krytyki,niepewność,większa granulacja emocjonalna,"Annotator dodał nowy aspekt kognitywny do reakcji, co wskazuje na rozwój w rozumieniu psychologicznych reakcji na wpływ społeczny.",0.5,"Annotator wykazał rozwój w rozumieniu reakcji psychologicznych, dodając nowy wymiar kognitywny do reakcji, co sugeruje większą złożoność w analizie wpływu społecznego. Utrzymanie uległości jako reakcji wskazuje na ciągłość w rozumieniu tego aspektu.",reaction
140,0.1,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,0,0,0,0,1,1,0,1,"Annotator przeszedł od braku identyfikacji reakcji do rozpoznania entuzjazmu jako emocji oraz zrozumienia, że reakcje mogą być związane z chęcią zwiększenia zasięgów, co wskazuje na bardziej złożone myślenie o motywacjach.",[],emocje (entuzjazm); motywacje (zwiększenie zasięgów); zewnętrzne wyniki (zakup obuwia),[],emocje; motywacje; zewnętrzne wyniki,[],pogłębienie psychologiczne,"Annotator zaczął dostrzegać emocje i motywacje w reakcjach na wpływ społeczny, co wskazuje na rozwój w rozumieniu psychologicznych aspektów tych reakcji.",0.6,"Rozwój w rozumieniu reakcji psychologicznych. Kluczowe zmiany: (1) Identyfikacja entuzjazmu jako emocji, co pokazuje większą wrażliwość na wewnętrzne stany; (2) Zrozumienie, że reakcje mogą być związane z motywacjami, takimi jak chęć zwiększenia zasięgów, co wskazuje na bardziej złożone myślenie o wpływie społecznym.",reaction
141,0.2,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,0,0,1,0,1,0,1,0,"Annotator przeszedł od ogólnego opisu pozytywnej reakcji do bardziej złożonego zrozumienia, które obejmuje uległość i komplementowanie, co wskazuje na rozpoznanie emocjonalnych i społecznych aspektów reakcji.",pozytywne emocje,"emocje pozytywne (ulegnięcie, komplementowanie)",[],"emocje pozytywne (ulegnięcie, komplementowanie)",pozytywne emocje,pogłębienie psychologiczne,"Annotator zyskał bardziej złożone zrozumienie reakcji na wpływ społeczny, dodając emocjonalne aspekty do wcześniej ogólnej pozytywnej reakcji.",0.6,"Rozwój w zrozumieniu reakcji na wpływ społeczny. Kluczowe zmiany obejmują: (1) Przejście od ogólnej pozytywnej reakcji do bardziej szczegółowego opisu, który uwzględnia emocjonalne aspekty, takie jak uległość i komplementowanie; (2) Zwiększenie złożoności analizy reakcji, co wskazuje na rozwój kompetencji w identyfikacji psychologicznych stanów.",reaction
142,0.2,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,2,0,1,0,1,0,"Annotator dodał emocjonalny aspekt do reakcji, jednak nadal pozostaje na poziomie ogólnym, bez głębszej analizy stanów psychologicznych.",komplementowanie; prośba o lajka,entuzjastyczne reakcje,[],emocje pozytywne (entuzjazm),komplementowanie; prośba o lajka,brak znaczącej zmiany,"Annotator przeszedł od dwóch konkretnych zachowań do ogólnej emocjonalnej reakcji, co nie wskazuje na głębsze zrozumienie psychologicznych reakcji.",-0.1,Brak znaczącej ewolucji w rozumieniu reakcji psychologicznych. Zmiana z konkretnych działań na ogólną emocjonalną reakcję nie wskazuje na rozwój w analizie wewnętrznych stanów psychicznych.,reaction
143,0.2,powierzchowny,powierzchowny,psychologiczny,behawioralny/zewnętrzny,bardziej behawioralny,2,0,0,0,0,0,0,1,"Annotator przeszedł od identyfikacji emocji (entuzjazm, zaangażowanie) do opisu zewnętrznego wyniku (komentarze użytkowników), co wskazuje na spłycenie analizy emocjonalnej.","emocje pozytywne (entuzjazm, zaangażowanie)",zewnętrzne wyniki (komentarze użytkowników),[],zewnętrzne wyniki,emocje pozytywne,spłycenie (fokus na zachowania),"Annotator przeszedł od analizy emocji do opisu zewnętrznych wyników, co wskazuje na spłycenie zrozumienia psychologicznych reakcji.",-0.7,"Annotator wykazał spłycenie analizy, koncentrując się na zewnętrznych wynikach (komentarze) zamiast na wewnętrznych emocjach (entuzjazm, zaangażowanie). To sugeruje, że umiejętności analityczne mogły nie ulec poprawie w kontekście rozumienia psychologicznych reakcji.",reaction
144,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,0,"Brak zmian w zrozumieniu emocji, ponieważ brak jest jakichkolwiek reakcji w obu odpowiedziach.",[],[],[],[],[],brak znaczącej zmiany,Brak jakichkolwiek reakcji w obu odpowiedziach wskazuje na brak rozwoju w zrozumieniu psychologicznych reakcji na wpływ społeczny.,0.0,"Brak danych do analizy, co uniemożliwia ocenę rozwoju rozumienia przez annotatora.",reaction
145,0.0,powierzchowny,średni,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,0,0,0,2,0,0,0,"Annotator przeszedł od braku reakcji do identyfikacji dwóch emocji: niepewności i nerwowości, co wskazuje na rozwój w rozumieniu emocjonalnych reakcji na wpływ społeczny.",[],"emocje negatywne (niepewność, nerwowość)",[],emocje negatywne,[],pogłębienie psychologiczne,"Annotator zidentyfikował emocje, co wskazuje na rozwój w rozumieniu psychologicznych reakcji na wpływ społeczny, mimo że wcześniej brakowało jakiejkolwiek reakcji.",0.7,"Rozwój w identyfikacji emocji. Kluczowe zmiany: (1) Zmiana z braku reakcji na identyfikację emocji, co pokazuje, że annotator zaczął dostrzegać wewnętrzne stany psychiczne związane z wpływem społecznym; (2) Wprowadzenie emocji negatywnych jako reakcji na wpływ społeczny, co wskazuje na większą wrażliwość na psychologiczne aspekty interakcji społecznych.",reaction
146,0.3,średni,powierzchowny,mieszany,psychologiczny,bardziej behawioralny,3,0,2,0,2,0,0,0,"Annotator zredukował złożoność emocjonalną, przechodząc od bardziej szczegółowych reakcji (zakłopotanie, niepewność, zdenerwowanie) do ogólnych stanów emocjonalnych (nerwowość, smutek).","emocje negatywne (zakłopotanie, niepewność, zdenerwowanie); behawioralne manifestacje (nerwowe poprawianie rękawów, niepatrzenie)","emocje negatywne (nerwowość, smutek)",[],emocje negatywne,"emocje negatywne (zakłopotanie, niepewność, zdenerwowanie); behawioralne manifestacje",spłycenie (fokus na zachowania),"Annotator przeszedł od złożonego opisu emocji i zachowań do bardziej ogólnych stanów emocjonalnych, co wskazuje na spłycenie analizy.",-0.5,"Annotator wykazał tendencję do uproszczenia analizy reakcji emocjonalnych, redukując różnorodność opisów emocji i zachowań. Zmiana ta może sugerować mniejsze zrozumienie złożoności psychologicznych reakcji na wpływ społeczny.",reaction
147,0.2,powierzchowny,średni,behawioralny/zewnętrzny,psychologiczny,bardziej psychologiczny,0,0,1,0,0,1,0,0,"Annotator przeszedł od opisu konkretnego zachowania (nerwowe poprawianie rękawa) do bardziej złożonego procesu kognitywnego (tłumaczenie się), co wskazuje na rozwój w rozumieniu psychologicznych reakcji.",behawioralne manifestacje (nerwowe poprawianie rękawa),procesy kognitywne (tłumaczenie się),[],procesy kognitywne,behawioralne manifestacje,pogłębienie psychologiczne,"Annotator przeszedł od opisu zachowania do analizy kognitywnej, co wskazuje na rozwój w rozumieniu psychologicznych reakcji na wpływ społeczny.",0.6,"Rozwój w zrozumieniu reakcji psychologicznych. Kluczowe zmiany: (1) Zmiana z opisu zachowania na analizę kognitywną, co pokazuje głębsze zrozumienie procesów myślowych związanych z wpływem społecznym; (2) Zmniejszenie fokusowania się na zewnętrznych manifestacjach, co może wskazywać na większą uwagę na wewnętrzne procesy psychologiczne.",reaction
148,0.2,średni,powierzchowny,mieszany,behawioralny/zewnętrzny,bardziej behawioralny,1,0,1,0,0,0,1,0,"Annotator przeszedł od identyfikacji emocji (zawstydzenie) do opisu zachowania (zamknięcie się w sobie), co wskazuje na spłycenie analizy emocjonalnej.",emocje negatywne (zawstydzenie); behawioralne manifestacje (zwrócenie uwagi na ubiór),behawioralne manifestacje (zamknięcie się w sobie),behawioralne manifestacje,[],emocje negatywne,spłycenie (fokus na zachowania),"Annotator skupił się bardziej na zachowaniu (zamknięcie się w sobie) niż na emocjonalnych reakcjach (zawstydzenie), co wskazuje na spłycenie analizy.",-0.5,"Zmiana w rozumieniu reakcji na wpływ społeczny wskazuje na spłycenie analizy emocjonalnej. Zamiast złożonej reakcji emocjonalnej, annotator skupił się na behawioralnym aspekcie, co może sugerować mniejsze zrozumienie wewnętrznych stanów psychicznych.",reaction
149,0.0,średni,powierzchowny,psychologiczny,behawioralny/zewnętrzny,bardziej behawioralny,1,0,0,0,0,0,0,0,Brak odpowiedzi w sekcji 'After' uniemożliwia ocenę zmiany w zrozumieniu emocji.,emocje negatywne (zamknięcie się w sobie),[],[],[],emocje negatywne (zamknięcie się w sobie),spłycenie (fokus na zachowania),"Brak odpowiedzi w sekcji 'After' wskazuje na spłycenie analizy, ponieważ nie ma żadnych nowych reakcji ani emocji zidentyfikowanych.",-1.0,"Brak odpowiedzi w sekcji 'After' sugeruje, że annotator nie był w stanie zidentyfikować żadnych reakcji psychologicznych po zdobyciu nowych umiejętności, co może wskazywać na stagnację w rozumieniu lub brak refleksji nad reakcjami na wpływ społeczny.",reaction
