index,intention_semantic_similarity,intention_conceptual_depth_analysis_before_level,intention_conceptual_depth_analysis_after_level,intention_conceptual_depth_analysis_before_focus,intention_conceptual_depth_analysis_after_focus,intention_conceptual_depth_analysis_change_direction,intention_conceptual_coverage_before_categories,intention_conceptual_coverage_after_categories,intention_conceptual_coverage_maintained_categories,intention_conceptual_coverage_new_categories,intention_conceptual_coverage_lost_categories,intention_evolution_assessment_type,intention_evolution_assessment_description,intention_evolution_assessment_quality_change,intention_key_insights,intention_analysis_type
114,0.4,średni,głęboki,koncepcyjny,koncepcyjny,bardziej koncepcyjny,zachęta do działania; rozwój kreatywności,krytyka; przekonywanie; wywoływanie emocji,[],krytyka; przekonywanie; wywoływanie emocji,zachęta do działania; rozwój kreatywności,pogłębienie koncepcyjne,"Annotator przeszedł od ogólnych intencji zachęty i kreatywności do bardziej złożonych mechanizmów wpływu, takich jak krytyka i wywoływanie emocji, co wskazuje na głębsze zrozumienie psychologicznych aspektów perswazji.",0.7,"Wyraźny rozwój w zrozumieniu intencji wywierania wpływu. Annotator teraz dostrzega bardziej złożone mechanizmy, takie jak krytyka i emocje, które są używane do przekonywania odbiorców, co wskazuje na głębsze zrozumienie psychologicznych aspektów perswazji.",intention
115,0.0,powierzchowny,głęboki,konkretny,koncepcyjny,bardziej koncepcyjny,[],motywacja do twórczości; autentyczność; długoterminowy sukces,[],motywacja do twórczości; autentyczność; długoterminowy sukces,[],pogłębienie koncepcyjne,Annotator przeszedł od braku odpowiedzi do zrozumienia głębszych intencji związanych z motywacją młodych muzyków do twórczości. Wskazuje na złożoność psychologiczną i długoterminowe cele.,1.0,"Wyraźny rozwój w rozumieniu intencji - annotator zidentyfikował złożone cele związane z autentycznością i długoterminowym sukcesem, co wskazuje na głębsze zrozumienie psychologicznych mechanizmów wpływu.",intention
116,0.4,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,motywacja do twórczości; świadomość artystyczna; budowanie wizerunku,motywacja do twórczości,motywacja do twórczości,[],świadomość artystyczna; budowanie wizerunku,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od ogólnych intencji związanych z motywacją i budowaniem wizerunku do bardziej szczegółowego opisu konkretnego działania (tworzenie oryginalnej muzyki). Stracił szerszy kontekst i głębsze cele.,-0.5,"Zmiana w odpowiedzi 'After' wskazuje na spłycenie analizy intencji. Annotator skupił się na konkretnym działaniu, ale stracił z oceny szersze cele, takie jak budowanie świadomości artystycznej i wizerunku, co ogranicza zrozumienie psychologicznych aspektów wpływu.",intention
117,0.5,średni,średni,koncepcyjny,koncepcyjny,bez zmian,zachęcanie do twórczości; zniechęcanie do powielania,ostrzeganie przed skutkami; zachęcanie do twórczości,zachęcanie do twórczości,ostrzeganie przed skutkami,zniechęcanie do powielania,przeformułowanie,Annotator przeszedł od ogólnego zachęcania i zniechęcania do bardziej konkretnego ostrzegania przed negatywnymi skutkami braku twórczości.,0.3,"Rozwój w kierunku bardziej złożonego rozumienia intencji - annotator skupił się na ostrzeganiu przed negatywnymi konsekwencjami, co wskazuje na głębsze zrozumienie wpływu na odbiorców.",intention
118,0.4,powierzchowny,powierzchowny,koncepcyjny,konkretny,bez zmian,motywacja; ostrzeżenie,motywacja; oczekiwania wobec twórców,motywacja,oczekiwania wobec twórców,ostrzeżenie,brak znaczącej zmiany,"Annotator zachował podobny poziom powierzchowności w analizie intencji, koncentrując się na motywacji, ale nie rozwijając głębszych psychologicznych mechanizmów.",0.0,"Brak znaczącej ewolucji w rozumieniu intencji. Annotator przeszedł od ogólnej motywacji do bardziej konkretnego oczekiwania wobec twórców, ale nie zyskał głębszego wglądu w psychologiczne aspekty wpływu.",intention
119,0.4,średni,głęboki,koncepcyjny,koncepcyjny,bardziej koncepcyjny,ochrona grupy; zmiana zachowań,wzbudzenie emocji; zaangażowanie; poczucie winy; dzielenie się problemami,[],wzbudzenie emocji; zaangażowanie; poczucie winy; dzielenie się problemami,ochrona grupy; zmiana zachowań,pogłębienie koncepcyjne,"Annotator przeszedł od ogólnych intencji związanych z ochroną grupy do bardziej złożonych emocjonalnych mechanizmów wpływu, takich jak wzbudzanie współczucia i poczucia winy.",0.7,"Wyraźny rozwój w zrozumieniu intencji - annotator teraz dostrzega złożoność emocjonalnych mechanizmów wpływu, co wskazuje na głębsze zrozumienie psychologicznych aspektów perswazji.",intention
120,0.1,powierzchowny,głęboki,konkretny,koncepcyjny,bardziej koncepcyjny,[],budowanie więzi; wsparcie emocjonalne; wizerunek,[],budowanie więzi; wsparcie emocjonalne; wizerunek,[],pogłębienie koncepcyjne,Annotator przeszedł od braku odpowiedzi do zrozumienia złożonych intencji związanych z budowaniem więzi i wsparciem. Odpowiedź 'After' pokazuje głębsze zrozumienie psychologicznych mechanizmów wpływu.,1.0,"Wyraźny rozwój w rozumieniu intencji - annotator zidentyfikował złożone cele związane z emocjami i relacjami, co wskazuje na znaczny postęp w analizie intencji wywierania wpływu.",intention
121,0.2,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,wsparcie emocjonalne; spontaniczne reakcje,namawianie do działania; zbieranie funduszy,[],namawianie do działania; zbieranie funduszy,wsparcie emocjonalne; spontaniczne reakcje,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od identyfikowania emocjonalnych i spontanicznych intencji do opisywania konkretnego działania (zbieranie funduszy na telefon). Stracił fokus na głębsze intencje.,-0.5,"Wyraźne spłycenie analizy - odpowiedź 'After' koncentruje się na konkretnym działaniu, ale nie uwzględnia emocjonalnych i społecznych aspektów intencji. Brakuje zrozumienia szerszego kontekstu wpływu społecznego.",intention
122,0.4,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,oczekiwanie reakcji; intencje emocjonalne,wzbudzenie emocji; pozyskanie środków,[],wzbudzenie emocji; pozyskanie środków,oczekiwanie reakcji; intencje emocjonalne,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od identyfikowania emocjonalnych intencji (pokazanie się jako gorszy) do opisywania konkretnych rezultatów (zakup rzeczy). Stracił fokus na głębsze intencje.,-0.5,"Wyraźne spłycenie analizy - odpowiedź 'After' koncentruje się na konkretnych działaniach (zakup słuchawek, telefonu) i emocjach (żal), ale nie identyfikuje szerszych intencji czy psychologicznych mechanizmów wpływu.",intention
123,0.5,powierzchowny,średni,konkretny,mieszany,bardziej koncepcyjny,dzielenie się myślami; zbieranie funduszy,nakłanianie do wsparcia; wyrażanie emocji; zakup sprzętu,[],nakłanianie do wsparcia; wyrażanie emocji; zakup sprzętu,dzielenie się myślami; zbieranie funduszy,pogłębienie koncepcyjne,"Annotator przeszedł od prostego opisu działań do bardziej złożonych intencji, takich jak nakłanianie do wsparcia finansowego oraz wyrażanie emocji.",0.6,"Rozwój w zrozumieniu intencji - annotator zaczął dostrzegać nie tylko konkretne działania, ale także psychologiczne motywacje, takie jak chęć wyżalenia się i nakłonienie innych do wsparcia. To wskazuje na głębsze zrozumienie dynamiki wpływu społecznego.",intention
124,0.2,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,dzielenie się trudnościami; pozyskiwanie funduszy,zachęcanie do współpracy; docenienie udziału,[],zachęcanie do współpracy; docenienie udziału,dzielenie się trudnościami; pozyskiwanie funduszy,brak znaczącej zmiany,"Annotator przeszedł od identyfikacji potrzeb związanych z osobistymi trudnościami i finansami do bardziej konkretnego działania w kontekście gry, ale nie rozwinął głębszego zrozumienia intencji.",0.0,"Brak znaczącej zmiany w zrozumieniu intencji. Odpowiedź 'After' koncentruje się na konkretnych działaniach w grze, ale nie identyfikuje głębszych motywacji ani celów, co wskazuje na stagnację w rozwoju koncepcyjnym.",intention
125,0.2,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,[],identyfikacja społeczna; wdzięczność; wspólne przeżycia,[],identyfikacja społeczna; wdzięczność; wspólne przeżycia,[],brak znaczącej zmiany,"Annotator dostarczył konkretne intencje związane z relacjami społecznymi, ale nie wykazał głębszego zrozumienia psychologicznych mechanizmów wpływu.",0.0,"Brak znaczącej zmiany w rozumieniu intencji. Annotator skupił się na konkretnych aspektach relacji społecznych, ale nie zidentyfikował głębszych celów czy motywacji stojących za tymi intencjami.",intention
127,0.0,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,[],[],[],[],[],brak znaczącej zmiany,Brak odpowiedzi w obu przypadkach uniemożliwia ocenę rozwoju rozumienia intencji.,0.0,"Brak danych do analizy, co uniemożliwia ocenę jakiejkolwiek zmiany w rozumieniu intencji przez annotatora.",intention
126,0.5,powierzchowny,średni,konkretny,koncepcyjny,bardziej koncepcyjny,wdzięczność,wdzięczność; sympatia; przynależność,wdzięczność,sympatia; przynależność,[],pogłębienie koncepcyjne,"Annotator rozszerzył swoje rozumienie intencji, dodając aspekty społeczne i emocjonalne do pierwotnej koncepcji wdzięczności. Zidentyfikował nie tylko akt podziękowania, ale także dążenie do budowania relacji i przynależności.",0.7,"Rozwój w zrozumieniu intencji - annotator przeszedł od prostego wyrażenia wdzięczności do zrozumienia szerszych społecznych i emocjonalnych celów, takich jak budowanie sympatii i przynależności do grupy.",intention
128,0.4,powierzchowny,średni,konkretny,mieszany,bardziej koncepcyjny,prośba o pomoc,wdzięczność; współpraca,[],wdzięczność; współpraca,prośba o pomoc,pogłębienie koncepcyjne,"Annotator przeszedł od prostego opisu intencji proszenia o pomoc do bardziej złożonego zrozumienia relacji, które obejmują wdzięczność i przyszłą współpracę.",0.5,"Rozwój w zrozumieniu intencji - annotator dostrzega teraz nie tylko potrzebę pomocy, ale także wartość relacji i wdzięczności, co wskazuje na głębsze zrozumienie dynamiki społecznej w kontekście współpracy.",intention
129,0.4,powierzchowny,głęboki,konkretny,koncepcyjny,bardziej koncepcyjny,wdzięczność,budowanie relacji; lojalność; motywacja; przewaga społeczna,[],budowanie relacji; lojalność; motywacja; przewaga społeczna,wdzięczność,pogłębienie koncepcyjne,"Annotator przeszedł od jednego, prostego pojęcia (wdzięczność) do złożonego zrozumienia różnych intencji i celów, które mogą leżeć u podstaw działań wpływających na zespół.",0.7,"Wyraźny rozwój w zrozumieniu intencji - annotator zidentyfikował różnorodne cele, takie jak budowanie relacji, lojalność i motywacja, co wskazuje na głębsze zrozumienie psychologicznych mechanizmów wpływu w kontekście interakcji z zespołem.",intention
130,0.2,powierzchowny,średni,konkretny,mieszany,bardziej koncepcyjny,[],budowanie relacji; dostęp do zasobów; wzmocnienie pozycji,[],budowanie relacji; dostęp do zasobów; wzmocnienie pozycji,[],pogłębienie koncepcyjne,"Annotator przeszedł od braku odpowiedzi do identyfikacji różnych intencji związanych z chwaleniem i komplementowaniem, co wskazuje na rozwój w rozumieniu psychologicznych mechanizmów wpływu.",0.7,"Rozwój w zrozumieniu intencji - annotator zidentyfikował różne cele chwalebnych działań, takie jak budowanie relacji i uzyskiwanie dostępu do zasobów, co wskazuje na głębsze zrozumienie dynamiki wpływu społecznego.",intention
131,0.4,średni,powierzchowny,mieszany,konkretny,bardziej konkretny,chęć nawiązania relacji; zainteresowanie muzyką; cele osobiste,docenienie; reklama,[],docenienie; reklama,chęć nawiązania relacji; zainteresowanie muzyką; cele osobiste,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od identyfikowania osobistych intencji i relacji do bardziej ogólnych celów związanych z docenieniem i reklamą zespołu. Stracił fokus na głębsze intencje.,-0.5,"Wyraźne spłycenie analizy - odpowiedź 'After' koncentruje się na ogólnych celach związanych z docenieniem i reklamą, a nie na osobistych intencjach i relacjach, co wskazuje na utratę głębszego zrozumienia motywacji osoby wywierającej wpływ.",intention
132,0.4,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,zmiękczenie odbiorcy; techniki perswazji; sugestia jakości,komplementowanie; chęć posiadania,[],komplementowanie; chęć posiadania,zmiękczenie odbiorcy; techniki perswazji; sugestia jakości,"spłycenie (więcej detali, mniej konceptów)","Annotator przeszedł od analizy technik perswazji i ich psychologicznych efektów do opisywania konkretnych działań (komplementowanie, chęć posiadania). Stracił fokus na głębsze intencje.",-0.5,"Wyraźne spłycenie analizy - odpowiedź 'After' koncentruje się na konkretnych działaniach, a nie na psychologicznych mechanizmach wpływu. Brakuje zrozumienia, dlaczego te techniki mogą być skuteczne w kontekście perswazji.",intention
133,0.0,powierzchowny,średni,konkretny,koncepcyjny,bardziej koncepcyjny,[],wyrażenie aprobaty; przekonanie o wyjątkowości,[],wyrażenie aprobaty; przekonanie o wyjątkowości,[],pogłębienie koncepcyjne,Annotator przeszedł od braku odpowiedzi do identyfikacji bardziej złożonych intencji związanych z aprobatą i poczuciem wyjątkowości grupy muzycznej.,1.0,"Wyraźny rozwój w rozumieniu intencji - annotator zidentyfikował psychologiczne mechanizmy aprobaty i poczucie wyjątkowości, co wskazuje na głębsze zrozumienie wpływu społecznego.",intention
134,0.4,średni,głęboki,koncepcyjny,koncepcyjny,bardziej koncepcyjny,budowanie zespołu; wzbudzanie emocji,perswazja; wyrażanie opinii; pozycjonowanie,[],perswazja; wyrażanie opinii; pozycjonowanie,budowanie zespołu; wzbudzanie emocji,pogłębienie koncepcyjne,"Annotator przeszedł od ogólnych intencji związanych z budowaniem zespołu do bardziej złożonych celów perswazyjnych i wyrażania osobistych opinii. Zrozumiał, że intencje mogą obejmować nie tylko emocje, ale także chęć wpływania na przekonania innych.",0.7,"Wyraźny rozwój w zrozumieniu intencji - annotator przeszedł od ogólnych celów związanych z emocjami do bardziej złożonych mechanizmów perswazji i pozycjonowania. Wskazuje to na głębsze zrozumienie dynamiki wpływu społecznego i roli, jaką odgrywają osobiste opinie w procesie perswazji.",intention
135,0.2,głęboki,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,edukacja muzyczna; budowanie autorytetu; zmiana gustów,promowanie muzyki,[],promowanie muzyki,edukacja muzyczna; budowanie autorytetu; zmiana gustów,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od złożonych intencji związanych z edukacją i autorytetem do prostego promowania zespołu. Utracono głębsze zrozumienie psychologicznych i społecznych aspektów wpływu.,-0.7,"Wyraźne pogorszenie w analizie intencji - odpowiedź 'After' koncentruje się na powierzchownym promowaniu, tracąc złożoność wcześniejszych intencji związanych z edukacją i zmianą gustów muzycznych. Brakuje zrozumienia szerszego kontekstu społecznego i psychologicznego.",intention
136,0.5,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,wprowadzenie nowego trendu,zmiana preferencji muzycznych,[],zmiana preferencji,wprowadzenie nowego trendu,brak znaczącej zmiany,"Annotator przeszedł od ogólnego stwierdzenia o wdrożeniu trendu do bardziej szczegółowego opisu zachęty do zmiany preferencji muzycznych, ale nie wprowadził głębszych intencji ani psychologicznych mechanizmów.",0.0,"Brak znaczącej zmiany w zrozumieniu intencji. Odpowiedzi są na podobnym poziomie powierzchowności, koncentrując się na konkretnych działaniach bez głębszej analizy motywacji czy celów.",intention
137,0.5,powierzchowny,średni,konkretny,mieszany,bardziej koncepcyjny,wpływ na preferencje muzyczne,budowanie zainteresowania; ekspertyza,[],budowanie zainteresowania; ekspertyza,wpływ na preferencje muzyczne,pogłębienie koncepcyjne,Annotator przeszedł od prostego nakłaniania do słuchania muzyki do bardziej złożonych intencji związanych z budowaniem zainteresowania i podkreślaniem swojej roli jako eksperta. To pokazuje rozwój w rozumieniu psychologicznych aspektów wpływu.,0.7,"Rozwój w zrozumieniu intencji - annotator przeszedł od opisu konkretnego działania do identyfikacji bardziej złożonych celów, takich jak budowanie zainteresowania i ekspertyzy. To wskazuje na lepsze zrozumienie mechanizmów wpływu społecznego.",intention
138,0.4,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,wpływ na gust muzyczny; dynamika relacji,narzucenie gustu; zmiana preferencji; potwierdzenie wyższości,[],narzucenie gustu; zmiana preferencji; potwierdzenie wyższości,wpływ na gust muzyczny; dynamika relacji,"spłycenie (więcej detali, mniej konceptów)","Annotator przeszedł od bardziej ogólnych intencji związanych z wpływem na gust muzyczny i relacje do opisywania konkretnych działań, które są bardziej powierzchowne i mniej złożone.",-0.5,"Zmiana w odpowiedzi 'After' wskazuje na spłycenie analizy intencji. Zamiast identyfikować głębsze cele związane z wpływem na gust muzyczny i relacje, annotator skupił się na konkretnych działaniach, co ogranicza zrozumienie psychologicznych mechanizmów wpływu.",intention
139,0.2,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,zmiana gustu; wpływ na preferencje,promocja produktu; wdzięczność; przyciąganie widowni,[],promocja produktu; wdzięczność; przyciąganie widowni,zmiana gustu; wpływ na preferencje,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od identyfikowania intencji związanych z wpływem na preferencje muzyczne do opisywania konkretnych działań promocyjnych. Stracił fokus na głębsze intencje związane z przekonywaniem.,-0.7,"Wyraźne pogorszenie w zrozumieniu intencji - odpowiedź 'After' koncentruje się na konkretnych działaniach promocyjnych, ale nie identyfikuje głębszych celów związanych z wpływem na preferencje odbiorców. Brakuje analizy psychologicznych mechanizmów, które mogłyby leżeć u podstaw tych działań.",intention
140,0.2,głęboki,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,wzmocnienie społeczności; motywacja; korzyści członkostwa,promocja produktu,[],promocja marki,wzmocnienie społeczności; motywacja; korzyści członkostwa,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od identyfikowania głębszych intencji związanych z budowaniem społeczności do opisywania konkretnej promocji produktu. Stracił fokus na psychologiczne i społeczne aspekty wpływu.,-0.7,"Wyraźne pogorszenie w zrozumieniu intencji - odpowiedź 'After' koncentruje się na konkretnej promocji, tracąc z oczu szersze cele związane z budowaniem społeczności i motywacją jej członków.",intention
141,0.4,powierzchowny,średni,konkretny,mieszany,bardziej koncepcyjny,cele sprzedażowe; cele marketingowe,nakłonienie do zakupu; zaangażowanie w mediach społecznościowych,[],nakłonienie do zakupu; zaangażowanie,cele sprzedażowe; cele marketingowe,przeformułowanie,Annotator przeszedł od ogólnych celów sprzedażowych do bardziej szczegółowych intencji związanych z nakłanianiem do zakupu i zaangażowaniem w mediach społecznościowych. Zmiana ta wskazuje na lepsze zrozumienie specyficznych działań wpływu.,0.5,"Rozwój w zrozumieniu intencji - annotator przeszedł od ogólnych celów do bardziej szczegółowych działań, co wskazuje na lepsze zrozumienie mechanizmów wpływu w kontekście marketingu i sprzedaży.",intention
142,0.5,powierzchowny,średni,konkretny,koncepcyjny,bardziej koncepcyjny,pozyskiwanie obserwatorów; zachęcanie do udziału; promocja produktów; promocja kanału,zaangażowanie odbiorców; lojalność; wzmocnienie pozycji,promocja kanału,zaangażowanie odbiorców; lojalność; wzmocnienie pozycji,pozyskiwanie obserwatorów; zachęcanie do udziału; promocja produktów,pogłębienie koncepcyjne,"Annotator przeszedł od opisywania konkretnych działań do identyfikacji bardziej abstrakcyjnych celów, takich jak lojalność i wzmocnienie pozycji na rynku.",0.7,"Ewolucja w zrozumieniu intencji - annotator zaczął dostrzegać głębsze cele związane z zaangażowaniem i lojalnością odbiorców, co wskazuje na rozwój w analizie psychologicznych aspektów wpływu.",intention
143,0.4,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,zasięg treści; lojalność odbiorców,zachęta do śledzenia,[],zachęta do śledzenia,zasięg treści; lojalność odbiorców,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od identyfikowania celów związanych z zasięgiem i lojalnością do opisywania konkretnej intencji zachęcania do śledzenia. Stracił fokus na szersze cele i intencje.,-0.5,"Pogorszenie w analizie intencji - odpowiedź 'After' koncentruje się na konkretnej akcji (śledzenie), ale nie uwzględnia szerszych celów związanych z zasięgiem i przywiązaniem odbiorców. Brakuje głębszego zrozumienia psychologicznych motywacji stojących za tymi intencjami.",intention
144,0.5,powierzchowny,głęboki,konkretny,koncepcyjny,bardziej koncepcyjny,ekskluzywność contentu,presja do zmiany; obawa przed konsekwencjami; dostosowanie do oczekiwań,[],presja do zmiany; obawa przed konsekwencjami; dostosowanie do oczekiwań,ekskluzywność contentu,pogłębienie koncepcyjne,"Annotator przeszedł od identyfikacji konkretnej intencji związanej z ekskluzywnością do bardziej złożonych mechanizmów wpływu, takich jak presja i obawa przed konsekwencjami. To pokazuje rozwój w rozumieniu psychologicznych aspektów wpływu.",0.7,"Wyraźny rozwój w zrozumieniu intencji wywierania wpływu. Annotator teraz dostrzega złożoność mechanizmów, które mogą wpływać na decyzje odbiorcy, co wskazuje na głębsze zrozumienie psychologicznych aspektów wpływu.",intention
145,0.5,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,relacje interpersonalne; styl ubioru,styl ubioru,[],styl ubioru,relacje interpersonalne,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od analizy relacji i kontekstu do skupienia się na konkretnym działaniu związanym z modą. Utracił zrozumienie szerszych intencji związanych z relacjami.,-0.5,"Zmiana w odpowiedzi wskazuje na spłycenie analizy - annotator skupił się na konkretnym działaniu (modny ubiór), tracąc z oczu szerszy kontekst relacji interpersonalnych i intencji wpływu.",intention
146,0.4,średni,powierzchowny,mieszany,konkretny,bardziej konkretny,zmiana osobista; wsparcie emocjonalne; doradztwo społeczne; motywacja do działania,zmiana stylu,[],zmiana stylu,zmiana osobista; wsparcie emocjonalne; doradztwo społeczne; motywacja do działania,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od identyfikowania różnych intencji i celów związanych z osobistym wsparciem i doradztwem do skupienia się na konkretnej akcji zmiany stylu ubioru. Stracił z oczu szerszy kontekst i psychologiczne aspekty wpływu.,-0.5,"Wyraźne spłycenie analizy - odpowiedź 'After' koncentruje się na konkretnej akcji (zmiana stylu), ale nie uwzględnia szerszych intencji, takich jak wsparcie emocjonalne czy doradztwo. Brakuje zrozumienia, dlaczego zmiana stylu mogłaby być istotna dla kolegi.",intention
147,0.4,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,wpływ na styl ubioru,zmiana stylu ubioru; porady osobiste,[],zmiana stylu ubioru; porady osobiste,wpływ na styl ubioru,brak znaczącej zmiany,"Annotator nie rozwinął głębszego zrozumienia intencji wywierania wpływu, pozostając na poziomie opisu konkretnych działań.",0.0,"Brak ewolucji w rozumieniu intencji. Odpowiedzi 'After' koncentrują się na konkretnych działaniach i poradach, ale nie identyfikują głębszych motywacji czy celów osoby wywierającej wpływ.",intention
148,0.2,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,motywacja; percepcja społeczna,manipulacja; dobre rady,[],manipulacja; dobre rady,motywacja; percepcja społeczna,"spłycenie (więcej detali, mniej konceptów)","Annotator przeszedł od analizy intencji związanych z motywacją i percepcją do opisu konkretnego działania, które ma na celu umniejszenie drugiej osoby.",-0.5,"Wyraźne spłycenie analizy - odpowiedź 'After' koncentruje się na konkretnym działaniu (umniejszenie) zamiast na głębszych intencjach (motywacja, percepcja). Brakuje zrozumienia psychologicznych mechanizmów wpływu.",intention
149,0.4,powierzchowny,głęboki,konkretny,koncepcyjny,bardziej koncepcyjny,wpływ na samoocenę; kompleksy,zachęta do zakupu; budowanie wizerunku marki,[],zachęta do zakupu; budowanie wizerunku,wpływ na samoocenę; kompleksy,pogłębienie koncepcyjne,Annotator przeszedł od opisu konkretnego działania (wprowadzenie w kompleksy) do identyfikacji szerszych celów marketingowych i psychologicznych związanych z budowaniem wizerunku marki.,0.7,Wyraźny rozwój w zrozumieniu intencji - annotator przeszedł od analizy wpływu na jednostkę do zrozumienia strategii marketingowej i psychologicznych mechanizmów budowania wizerunku marki. To pokazuje głębsze zrozumienie celów i oczekiwań wobec odbiorców.,intention
150,0.5,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,budowanie wizerunku; zachęta do zakupu,zakup produktów; promocja marki,[],zakup produktów; promocja,budowanie wizerunku; zachęta do zakupu,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od identyfikacji celów związanych z budowaniem wizerunku marki do opisywania konkretnych działań związanych z zakupem i promocją. Stracił fokus na głębsze intencje.,-0.5,"Zmiana w kierunku bardziej powierzchownego opisu intencji. Odpowiedź 'After' koncentruje się na konkretnych działaniach (zakup, promocja), ale nie uwzględnia szerszych celów związanych z wizerunkiem marki. Brakuje zrozumienia psychologicznych aspektów wpływu na decyzje zakupowe.",intention
151,0.2,głęboki,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,lojalność wobec marki; przekonywanie o jakości; wpływ społeczny; budowanie wspólnoty; cele sprzedażowe,reklama; nakłanianie do zakupu,[],reklama; nakłanianie do zakupu,lojalność wobec marki; przekonywanie o jakości; wpływ społeczny; budowanie wspólnoty; cele sprzedażowe,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od złożonych intencji związanych z lojalnością i wpływem społecznym do prostych działań reklamowych i nakłaniania do zakupu. Utracono głębsze zrozumienie psychologicznych i społecznych aspektów wpływu.,-0.7,"Wyraźne pogorszenie w analizie intencji - odpowiedź 'After' koncentruje się na konkretnych działaniach (reklama, nakłanianie), tracąc z oceny szersze cele i psychologiczne mechanizmy, które wcześniej były dostrzegane.",intention
152,0.5,powierzchowny,średni,konkretny,mieszany,bardziej koncepcyjny,nakłonienie do zakupu,budowanie lojalności; cele finansowe,[],budowanie lojalności; cele finansowe,nakłonienie do zakupu,przeformułowanie,Annotator przeszedł od konkretnego celu zakupu do bardziej złożonych intencji związanych z budowaniem relacji z klientami oraz celami finansowymi.,0.4,Rozwój w zrozumieniu intencji - annotator przeszedł od prostego nakłaniania do zakupu do identyfikacji długoterminowych celów związanych z lojalnością klientów i zyskami. To wskazuje na głębsze zrozumienie strategii marketingowej.,intention
153,0.5,powierzchowny,średni,konkretny,mieszany,bardziej koncepcyjny,cele finansowe; poczucie wyjątkowości,poczucie wyjątkowości; budowanie wspólnoty,poczucie wyjątkowości,budowanie wspólnoty,cele finansowe,przeformułowanie,Annotator przeszedł od ogólnego celu reklamowego do bardziej szczegółowego opisu intencji związanych z poczuciem wyjątkowości i budowaniem wspólnoty w kontekście noszenia butów Nike.,0.4,"Rozwój w zrozumieniu intencji - annotator zidentyfikował nie tylko cel finansowy, ale także psychologiczne aspekty związane z poczuciem przynależności i wyjątkowości, co wskazuje na głębsze zrozumienie wpływu marki na odbiorców.",intention
154,0.4,powierzchowny,powierzchowny,konkretny,konkretny,bez zmian,zakupy; motywacja do zakupu,zakupy; motywacja do zakupu,zakupy; motywacja do zakupu,[],[],brak znaczącej zmiany,Annotator nie wykazał znaczącego rozwoju w zrozumieniu intencji wywierania wpływu. Obie odpowiedzi koncentrują się na konkretnych produktach i działaniach zakupowych.,0.0,"Brak ewolucji w rozumieniu intencji. Annotator nadal skupia się na powierzchownych aspektach wpływu, takich jak konkretne produkty, zamiast badać głębsze motywacje i cele związane z wywieraniem wpływu.",intention
155,0.6,średni,średni,konkretny,mieszany,bez zmian,namawianie do zakupu,zachęcanie do zakupu; dbanie o cerę; dbanie o zdrowie,namawianie do zakupu,dbanie o cerę; dbanie o zdrowie,[],przeformułowanie,"Annotator rozszerzył swoje rozumienie intencji, dodając nowe aspekty związane z dbaniem o zdrowie i cerę, ale nie pogłębił analizy psychologicznych mechanizmów.",0.3,"Rozwój w zakresie rozumienia intencji, z większym naciskiem na zdrowie i pielęgnację, ale nadal na poziomie średnim. Annotator zidentyfikował nowe cele, ale nie wprowadził głębszej analizy psychologicznych motywacji.",intention
